v8-version,6,1,534,47,0
code-creation,Stub,3,8304,0x6c2ebd23520,2280,"RecordWriteStub"
code-creation,Stub,3,8312,0x6c2ebd23e20,2275,"RecordWriteStub"
code-creation,Stub,3,8321,0x6c2ebd24720,2296,"RecordWriteStub"
code-creation,Stub,3,8330,0x6c2ebd25020,2254,"RecordWriteStub"
code-creation,Stub,3,8338,0x6c2ebd25900,2254,"RecordWriteStub"
code-creation,Stub,3,8347,0x6c2ebd261e0,591,"StringAddStub"
code-creation,Stub,3,8356,0x6c2ebd26440,1872,"StringAddStub"
code-creation,Builtin,5,8365,0x6c2ebd26ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,8373,0x6c2ebd26ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,8382,0x6c2ebd27440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,8391,0x6c2ebd27540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,8400,0x6c2ebd276c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,8409,0x6c2ebd27800,2238,"RecordWriteStub"
code-creation,Stub,3,8418,0x6c2ebd280c0,2300,"RecordWriteStub"
code-creation,Stub,3,8426,0x6c2ebd289c0,2245,"RecordWriteStub"
code-creation,Stub,3,8435,0x6c2ebd292a0,2291,"RecordWriteStub"
code-creation,Stub,3,8444,0x6c2ebd29ba0,2270,"RecordWriteStub"
code-creation,Stub,3,8452,0x6c2ebd2a480,2254,"RecordWriteStub"
code-creation,Stub,3,8461,0x6c2ebd2ad60,2285,"RecordWriteStub"
code-creation,Handler,4,8470,0x6c2ebd2b660,308,"An IC handler from the snapshot"
code-creation,Handler,4,8500,0x6c2ebd2b7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,8509,0x6c2ebd2baa0,2296,"RecordWriteStub"
code-creation,Stub,3,8518,0x6c2ebd2c3a0,2238,"RecordWriteStub"
code-creation,Stub,3,8527,0x6c2ebd2cc60,2254,"RecordWriteStub"
code-creation,Stub,3,8535,0x6c2ebd2d540,1391,"RecordWriteStub"
code-creation,Stub,3,8544,0x6c2ebd2dac0,2242,"RecordWriteStub"
code-creation,Stub,3,8553,0x6c2ebd2e3a0,2291,"RecordWriteStub"
code-creation,Stub,3,8561,0x6c2ebd2eca0,183,"DoubleToIStub"
code-creation,Stub,3,8570,0x6c2ebd2ed60,2266,"RecordWriteStub"
code-creation,Stub,3,8579,0x6c2ebd2f640,2308,"RecordWriteStub"
code-creation,Handler,4,8587,0x6c2ebd2ff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,8596,0x6c2ebd30280,256,"An IC handler from the snapshot"
code-creation,Stub,3,8605,0x6c2ebd30380,2238,"RecordWriteStub"
code-creation,Stub,3,8613,0x6c2ebd30c40,2266,"RecordWriteStub"
code-creation,Handler,4,8622,0x6c2ebd31520,296,"An IC handler from the snapshot"
code-creation,Stub,3,8631,0x6c2ebd31660,1412,"RecordWriteStub"
code-creation,Stub,3,8639,0x6c2ebd31c00,2269,"RecordWriteStub"
code-creation,Stub,3,8648,0x6c2ebd324e0,2250,"RecordWriteStub"
code-creation,Stub,3,8657,0x6c2ebd32dc0,3405,"SubStringStub"
code-creation,Stub,3,8666,0x6c2ebd33b20,183,"DoubleToIStub"
code-creation,Stub,3,8674,0x6c2ebd33be0,387,"CreateWeakCellStub"
code-creation,Handler,4,8683,0x6c2ebd33d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,8692,0x6c2ebd34040,1416,"RecordWriteStub"
code-creation,Stub,3,8700,0x6c2ebd345e0,2257,"RecordWriteStub"
code-creation,Stub,3,8709,0x6c2ebd34ec0,365,"CEntryStub"
code-creation,Stub,3,8718,0x6c2ebd35040,2238,"RecordWriteStub"
code-creation,Stub,3,8726,0x6c2ebd35900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,8735,0x6c2ebd35ae0,2272,"RecordWriteStub"
code-creation,Stub,3,8744,0x6c2ebd363c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,8753,0x6c2ebd36500,357,"MathPowStub"
code-creation,Handler,4,8761,0x6c2ebd36680,744,"An IC handler from the snapshot"
code-creation,Stub,3,8770,0x6c2ebd36980,427,"CallApiGetterStub"
code-creation,Stub,3,8779,0x6c2ebd36b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,8787,0x6c2ebd36c80,2276,"RecordWriteStub"
