v8-version,6,1,534,47,0
code-creation,Stub,3,16061,0x9d76a926ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,16070,0x9d76a927440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,16078,0x9d76a927540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,16087,0x9d76a9276c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,16116,0x9d76a927800,2238,"RecordWriteStub"
tick,0x7fff792302c2,16142,0,0x0,4
code-creation,Stub,3,16180,0x9d76a9280c0,2300,"RecordWriteStub"
code-creation,Stub,3,16234,0x9d76a9289c0,2245,"RecordWriteStub"
code-creation,Stub,3,16247,0x9d76a9292a0,2291,"RecordWriteStub"
code-creation,Stub,3,16259,0x9d76a929ba0,2270,"RecordWriteStub"
code-creation,Stub,3,16272,0x9d76a92a480,2254,"RecordWriteStub"
code-creation,Stub,3,16284,0x9d76a92ad60,2285,"RecordWriteStub"
code-creation,Handler,4,16297,0x9d76a92b660,308,"An IC handler from the snapshot"
code-creation,Handler,4,16310,0x9d76a92b7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,16323,0x9d76a92baa0,2296,"RecordWriteStub"
code-creation,Stub,3,16338,0x9d76a92c3a0,2238,"RecordWriteStub"
code-creation,Stub,3,16351,0x9d76a92cc60,2254,"RecordWriteStub"
code-creation,Stub,3,16364,0x9d76a92d540,1391,"RecordWriteStub"
code-creation,Stub,3,16377,0x9d76a92dac0,2242,"RecordWriteStub"
code-creation,Stub,3,16389,0x9d76a92e3a0,2291,"RecordWriteStub"
code-creation,Stub,3,16402,0x9d76a92eca0,183,"DoubleToIStub"
code-creation,Stub,3,16415,0x9d76a92ed60,2266,"RecordWriteStub"
code-creation,Stub,3,16428,0x9d76a92f640,2308,"RecordWriteStub"
code-creation,Handler,4,16440,0x9d76a92ff60,780,"An IC handler from the snapshot"
code-creation,Handler,4,16453,0x9d76a930280,256,"An IC handler from the snapshot"
code-creation,Stub,3,16465,0x9d76a930380,2238,"RecordWriteStub"
code-creation,Stub,3,16478,0x9d76a930c40,2266,"RecordWriteStub"
code-creation,Handler,4,16490,0x9d76a931520,296,"An IC handler from the snapshot"
code-creation,Stub,3,16503,0x9d76a931660,1412,"RecordWriteStub"
code-creation,Stub,3,16516,0x9d76a931c00,2269,"RecordWriteStub"
code-creation,Stub,3,16530,0x9d76a9324e0,2250,"RecordWriteStub"
code-creation,Stub,3,16543,0x9d76a932dc0,3405,"SubStringStub"
code-creation,Stub,3,16556,0x9d76a933b20,183,"DoubleToIStub"
code-creation,Stub,3,16569,0x9d76a933be0,387,"CreateWeakCellStub"
code-creation,Handler,4,16582,0x9d76a933d80,688,"An IC handler from the snapshot"
code-creation,Stub,3,16594,0x9d76a934040,1416,"RecordWriteStub"
code-creation,Stub,3,16607,0x9d76a9345e0,2257,"RecordWriteStub"
code-creation,Stub,3,16620,0x9d76a934ec0,365,"CEntryStub"
code-creation,Stub,3,16632,0x9d76a935040,2238,"RecordWriteStub"
code-creation,Stub,3,16645,0x9d76a935900,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,16657,0x9d76a935ae0,2272,"RecordWriteStub"
code-creation,Stub,3,16670,0x9d76a9363c0,299,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,16683,0x9d76a936500,357,"MathPowStub"
code-creation,Handler,4,16696,0x9d76a936680,744,"An IC handler from the snapshot"
code-creation,Stub,3,16710,0x9d76a936980,427,"CallApiGetterStub"
code-creation,Stub,3,16723,0x9d76a936b40,295,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,3,16732,0x9d76a936c80,2276,"RecordWriteStub"
code-creation,Stub,3,16740,0x9d76a937580,2284,"RecordWriteStub"
code-creation,Stub,3,16749,0x9d76a937e80,2254,"RecordWriteStub"
code-creation,Stub,3,16758,0x9d76a938760,615,"StringAddStub"
code-creation,Stub,3,16766,0x9d76a9389e0,375,"NumberToStringStub"
code-creation,Stub,3,16775,0x9d76a938b60,980,"RecordWriteStub"
code-creation,Stub,3,16784,0x9d76a938f40,2263,"RecordWriteStub"
code-creation,Handler,4,16792,0x9d76a939820,296,"An IC handler from the snapshot"
code-creation,Stub,3,16801,0x9d76a939960,2307,"RecordWriteStub"
code-creation,Stub,3,16810,0x9d76a93a280,2254,"RecordWriteStub"
code-creation,Stub,3,16818,0x9d76a93ab60,185,"DoubleToIStub"
