v8-version,6,0,287,53,0
code-creation,Stub,17,8479,0x21588e21d6c0,173,"BinaryOpICStub"
code-creation,Stub,3,8487,0x21588e21d780,2285,"RecordWriteStub"
code-creation,Stub,17,8496,0x21588e21e080,300,"BinaryOpICStub"
code-creation,Stub,3,8505,0x21588e21e1c0,2286,"RecordWriteStub"
code-creation,Stub,3,8514,0x21588e21eac0,2297,"RecordWriteStub"
code-creation,Stub,3,8522,0x21588e21f3c0,503,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,8531,0x21588e21f5c0,2307,"RecordWriteStub"
code-creation,Handler,4,8540,0x21588e21fee0,764,"An IC handler from the snapshot"
code-creation,Stub,3,8548,0x21588e2201e0,2298,"RecordWriteStub"
code-creation,Stub,3,8557,0x21588e220ae0,2328,"RecordWriteStub"
code-creation,Stub,3,8634,0x21588e221400,2270,"RecordWriteStub"
code-creation,Stub,17,8666,0x21588e221ce0,248,"BinaryOpICStub"
code-creation,Stub,17,8683,0x21588e221de0,272,"BinaryOpICStub"
code-creation,Stub,3,8749,0x21588e221f00,2332,"RecordWriteStub"
code-creation,Stub,3,8764,0x21588e222820,2289,"RecordWriteStub"
code-creation,Stub,17,8778,0x21588e223120,228,"BinaryOpICStub"
code-creation,Stub,3,8792,0x21588e223220,2339,"RecordWriteStub"
code-creation,Stub,17,8806,0x21588e223b60,228,"BinaryOpICStub"
code-creation,Stub,3,8841,0x21588e223c60,2285,"RecordWriteStub"
code-creation,Stub,3,8862,0x21588e224560,543,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,8879,0x21588e224780,2346,"RecordWriteStub"
code-creation,Stub,3,8896,0x21588e2250c0,495,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,8912,0x21588e2252c0,436,"CEntryStub"
code-creation,Stub,17,8928,0x21588e225480,300,"BinaryOpICStub"
code-creation,Stub,17,8944,0x21588e2255c0,264,"BinaryOpICStub"
code-creation,Stub,17,8960,0x21588e2256e0,228,"BinaryOpICStub"
code-creation,Stub,3,8978,0x21588e2257e0,2328,"RecordWriteStub"
code-creation,Stub,3,8994,0x21588e226100,2358,"RecordWriteStub"
code-creation,Stub,3,9025,0x21588e226a40,215,"DoubleToIStub"
code-creation,Stub,3,9290,0x21588e226b20,1012,"RecordWriteStub"
code-creation,Stub,3,9332,0x21588e226f20,2289,"RecordWriteStub"
code-creation,Stub,3,9353,0x21588e227820,2304,"RecordWriteStub"
code-creation,Stub,3,9371,0x21588e228120,2332,"RecordWriteStub"
code-creation,Stub,17,9386,0x21588e228a40,228,"BinaryOpICStub"
code-creation,Stub,17,9401,0x21588e228b40,248,"BinaryOpICStub"
code-creation,Stub,3,9416,0x21588e228c40,2298,"RecordWriteStub"
code-creation,Stub,17,9431,0x21588e229540,240,"BinaryOpICStub"
code-creation,Stub,3,9445,0x21588e229640,2282,"RecordWriteStub"
code-creation,Stub,17,9460,0x21588e229f40,173,"BinaryOpICStub"
code-creation,Stub,3,9478,0x21588e22a000,2274,"RecordWriteStub"
code-creation,Stub,3,9513,0x21588e22a900,2286,"RecordWriteStub"
code-creation,Stub,17,9533,0x21588e22b200,300,"BinaryOpICStub"
code-creation,Handler,4,9554,0x21588e22b340,340,"An IC handler from the snapshot"
code-creation,Stub,17,9574,0x21588e22b4a0,240,"BinaryOpICStub"
code-creation,Stub,3,9593,0x21588e22b5a0,2286,"RecordWriteStub"
code-creation,Stub,3,9613,0x21588e22bea0,2327,"RecordWriteStub"
code-creation,Stub,3,9632,0x21588e22c7c0,2289,"RecordWriteStub"
code-creation,Stub,3,9649,0x21588e22d0c0,2286,"RecordWriteStub"
code-creation,Stub,3,9665,0x21588e22d9c0,1010,"RecordWriteStub"
code-creation,Stub,17,9681,0x21588e22ddc0,228,"BinaryOpICStub"
code-creation,Stub,17,9698,0x21588e22dec0,439,"BinaryOpICStub"
code-creation,Handler,4,9718,0x21588e22e080,720,"An IC handler from the snapshot"
code-creation,Stub,3,9737,0x21588e22e360,2323,"RecordWriteStub"
tick,0x7fff7142e2c2,9776,0,0x0,4
code-creation,Handler,4,9873,0x21588e22ec80,328,"An IC handler from the snapshot"
tick,0x7fff7142da4e,9910,0,0x0,4
code-creation,Stub,17,9936,0x21588e22ede0,487,"BinaryOpICStub"
code-creation,Stub,3,9950,0x21588e22efe0,503,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,9964,0x21588e22f1e0,2286,"RecordWriteStub"
code-creation,Stub,3,9979,0x21588e22fae0,221,"DoubleToIStub"
code-creation,Stub,3,9988,0x21588e22fbc0,2282,"RecordWriteStub"
code-creation,Stub,3,9997,0x21588e2304c0,2301,"RecordWriteStub"
code-creation,Stub,3,10005,0x21588e230dc0,331,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,10014,0x21588e230f20,343,"ArrayNoArgumentConstructorStub"
code-creation,Stub,17,10023,0x21588e231080,455,"BinaryOpICStub"
code-creation,Stub,3,10032,0x21588e231260,2323,"RecordWriteStub"
code-creation,Stub,17,10040,0x21588e231b80,304,"BinaryOpICStub"
code-creation,Stub,17,10049,0x21588e231cc0,308,"BinaryOpICStub"
code-creation,Stub,3,10058,0x21588e231e00,2307,"RecordWriteStub"
code-creation,Stub,17,10066,0x21588e232720,459,"BinaryOpICStub"
code-creation,Stub,3,10075,0x21588e232900,503,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,10084,0x21588e232b00,1012,"RecordWriteStub"
code-creation,Stub,3,10092,0x21588e232f00,2302,"RecordWriteStub"
code-creation,Stub,3,10101,0x21588e233800,2286,"RecordWriteStub"
code-creation,Stub,17,10110,0x21588e234100,228,"BinaryOpICStub"
code-creation,Stub,3,10118,0x21588e234200,647,"StringAddStub"
code-creation,Stub,17,10153,0x21588e2344a0,173,"BinaryOpICStub"
code-creation,Stub,3,10162,0x21588e234560,2261,"RecordWriteStub"
code-creation,Stub,3,10171,0x21588e234e40,2286,"RecordWriteStub"
code-creation,Stub,17,10180,0x21588e235740,272,"BinaryOpICStub"
code-creation,Stub,3,10188,0x21588e235860,2270,"RecordWriteStub"
code-creation,Stub,17,10197,0x21588e236140,459,"BinaryOpICStub"
code-creation,Stub,3,10205,0x21588e236320,2298,"RecordWriteStub"
code-creation,Stub,17,10214,0x21588e236c20,272,"BinaryOpICStub"
code-creation,Handler,4,10222,0x21588e236d40,720,"An IC handler from the snapshot"
code-creation,Stub,3,10231,0x21588e237020,2308,"RecordWriteStub"
code-creation,Stub,17,10240,0x21588e237940,483,"BinaryOpICStub"
code-creation,Stub,3,10249,0x21588e237b40,2295,"RecordWriteStub"
code-creation,Stub,17,10258,0x21588e238440,248,"BinaryOpICStub"
code-creation,Stub,3,10267,0x21588e238540,397,"CEntryStub"
code-creation,Stub,17,10276,0x21588e2386e0,455,"BinaryOpICStub"
code-creation,Stub,3,10284,0x21588e2388c0,2270,"RecordWriteStub"
code-creation,Stub,3,10293,0x21588e2391a0,2274,"RecordWriteStub"
code-creation,Stub,17,10302,0x21588e239aa0,308,"BinaryOpICStub"
code-creation,Stub,17,10311,0x21588e239be0,240,"BinaryOpICStub"
code-creation,Stub,3,10319,0x21588e239ce0,1448,"RecordWriteStub"
code-creation,Stub,17,10328,0x21588e23a2a0,300,"BinaryOpICStub"
code-creation,Stub,3,10336,0x21588e23a3e0,1014,"RecordWriteStub"
code-creation,Stub,3,10345,0x21588e23a7e0,1036,"RecordWriteStub"
code-creation,Stub,3,10353,0x21588e23ac00,2302,"RecordWriteStub"
code-creation,Stub,17,10362,0x21588e23b500,272,"BinaryOpICStub"
code-creation,Handler,4,10371,0x21588e23b620,776,"An IC handler from the snapshot"
code-creation,Stub,17,10379,0x21588e23b940,300,"BinaryOpICStub"
code-creation,Stub,3,10388,0x21588e23ba80,1051,"CallICStub"
code-creation,Stub,3,10396,0x21588e23bea0,498,"ArrayConstructorStub"
code-creation,Stub,3,10405,0x21588e23c0a0,375,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,10414,0x21588e23c220,331,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,10422,0x21588e23c380,331,"ArrayNoArgumentConstructorStub"
code-creation,Builtin,5,10432,0x21588e23c4e0,153,"Abort"
code-creation,Stub,3,10440,0x21588e23c580,471,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,10449,0x21588e23c760,455,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,10458,0x21588e23c940,331,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,10466,0x21588e23caa0,2286,"RecordWriteStub"
code-creation,Stub,3,10475,0x21588e23d3a0,1012,"RecordWriteStub"
code-creation,Stub,17,10484,0x21588e23d7a0,272,"BinaryOpICStub"
code-creation,Stub,3,10492,0x21588e23d8c0,2349,"RecordWriteStub"
code-creation,Stub,17,10501,0x21588e23e200,300,"BinaryOpICStub"
code-creation,Stub,3,10510,0x21588e23e340,2282,"RecordWriteStub"
